========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-07-01 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-07-01 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
2019-07-05 01:30  to 2019-07-05 01:45,0.000,,
2019-07-05 01:45  to 2019-07-05 02:00,0.000,,
2019-07-05 02:00  to 2019-07-05 02:15,0.000,,
2019-07-05 02:15  to 2019-07-05 02:30,0.000,,
2019-07-05 02:30  to 2019-07-05 02:45,0.000,,
2019-07-05 02:45  to 2019-07-05 03:00,0.000,,
2019-07-05 03:00  to 2019-07-05 03:15,0.000,,
2019-07-05 03:15  to 2019-07-05 03:30,0.000,,
2019-07-05 03:30  to 2019-07-05 03:45,0.000,,
2019-07-05 03:45  to 2019-07-05 04:00,0.000,,
2019-07-05 04:00  to 2019-07-05 04:15,0.000,,
2019-07-05 04:15  to 2019-07-05 04:30,0.000,,
2019-07-05 04:30  to 2019-07-05 04:45,0.000,,
2019-07-05 04:45  to 2019-07-05 05:00,0.000,,
2019-07-05 05:00  to 2019-07-05 05:15,0.000,,
2019-07-05 05:15  to 2019-07-05 05:30,0.000,,
2019-07-05 05:30  to 2019-07-05 05:45,0.000,,
2019-07-05 05:45  to 2019-07-05 06:00,0.000,,
2019-07-05 06:00  to 2019-07-05 06:15,0.000,,
2019-07-05 06:15  to 2019-07-05 06:30,0.000,,
2019-07-05 06:30  to 2019-07-05 06:45,0.000,,
2019-07-05 06:45  to 2019-07-05 07:00,0.000,,
2019-07-05 07:00  to 2019-07-05 07:15,0.002,,
2019-07-05 07:15  to 2019-07-05 07:30,0.000,,
2019-07-05 07:30  to 2019-07-05 07:45,0.000,,
2019-07-05 07:45  to 2019-07-05 08:00,0.000,,
2019-07-05 08:00  to 2019-07-05 08:15,0.006,,
2019-07-05 08:15  to 2019-07-05 08:30,0.012,,
2019-07-05 08:30  to 2019-07-05 08:45,0.121,,
2019-07-05 08:45  to 2019-07-05 09:00,0.076,,
2019-07-05 09:00  to 2019-07-05 09:15,0.000,,
2019-07-05 09:15  to 2019-07-05 09:30,0.085,,
2019-07-05 09:30  to 2019-07-05 09:45,0.076,,
2019-07-05 09:45  to 2019-07-05 10:00,0.078,,
2019-07-05 10:00  to 2019-07-05 10:15,0.106,,
2019-07-05 10:15  to 2019-07-05 10:30,0.136,,
