Where,1stD H,TotYd H,PassY H,RushY H,TO H,1stD A,TotYd A,PassY A,RushY A,TO A,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome
A,19,297,203,94,3,18,264,128,136,2,1,33,75,-42,1,W
H,22,434,273,161,1,14,216,131,85,2,8,218,142,76,-1,W
H,19,371,303,68,1,25,455,186,269,0,-6,-84,117,-201,1,L
A,22,429,395,34,3,12,232,160,72,1,10,197,235,-38,2,L
H,27,372,282,90,1,18,273,120,153,0,9,99,162,-63,1,L
A,22,362,240,122,1,22,374,262,112,1,0,-12,-22,10,0,L
H,14,221,199,22,2,31,480,195,285,0,-17,-259,4,-263,2,L
A,19,252,158,94,0,25,457,345,112,1,-6,-205,-187,-18,-1,L
A,20,295,210,85,0,27,404,292,112,0,-7,-109,-82,-27,0,L
A,22,424,256,168,0,19,303,280,23,1,3,121,-24,145,-1,W
A,24,370,290,80,1,17,375,316,59,2,7,-5,-26,21,-1,L
H,17,269,197,72,0,15,222,182,40,2,2,47,15,32,-2,W
A,31,643,378,265,0,12,200,179,21,3,19,443,199,244,-3,W
H,22,316,266,50,0,17,321,238,83,1,5,-5,28,-33,-1,W
A,18,326,222,104,0,11,226,151,75,1,7,100,71,29,-1,W
A,28,552,346,206,0,25,361,281,80,0,3,191,65,126,0,W
A,9,180,78,102,4,22,446,171,275,0,-13,-266,-93,-173,4,L
A,25,470,319,151,2,23,494,405,89,0,2,-24,-86,62,2,L
A,25,474,261,213,1,19,255,208,47,0,6,219,53,166,1,W
A,25,516,354,162,1,28,465,349,116,1,-3,51,5,46,0,W
H,25,435,310,125,2,22,376,173,203,0,3,59,137,-78,2,W
H,19,246,211,35,3,15,350,159,191,2,4,-104,52,-156,1,L
A,21,412,159,253,0,13,224,133,91,1,8,188,26,162,-1,W
A,24,335,215,120,0,32,563,441,122,3,-8,-228,-226,-2,-3,W
H,27,404,292,112,0,20,295,210,85,0,7,109,82,27,0,W
H,17,375,316,59,2,24,370,290,80,1,-7,5,26,-21,1,W
A,16,375,305,70,1,13,262,169,93,1,3,113,136,-23,0,W
H,20,335,240,95,3,19,322,243,79,0,1,13,-3,16,3,L
H,23,348,316,32,3,18,256,132,124,1,5,92,184,-92,2,L
A,18,256,132,124,1,23,348,316,32,3,-5,-92,-184,92,-2,W
H,21,307,150,157,3,20,379,243,136,1,1,-72,-93,21,2,L
H,21,370,241,129,2,24,388,237,151,0,-3,-18,4,-22,2,L
A,20,376,337,39,1,22,366,293,73,1,-2,10,44,-34,0,W
A,31,481,238,243,1,17,241,184,57,1,14,240,54,186,0,W
H,17,263,137,126,0,16,281,178,103,1,1,-18,-41,23,-1,W
A,15,308,279,29,1,23,389,125,264,2,-8,-81,154,-235,-1,L
A,13,299,243,56,0,22,447,277,170,3,-9,-148,-34,-114,-3,L
A,15,236,194,42,2,25,398,229,169,2,-10,-162,-35,-127,0,L
H,21,271,187,84,2,13,311,166,145,0,8,-40,21,-61,2,L
H,28,465,349,116,1,25,516,354,162,1,3,-51,-5,-46,0,L
A,23,389,283,106,4,16,246,174,72,1,7,143,109,34,3,L
H,20,309,256,53,2,35,472,280,192,3,-15,-163,-24,-139,-1,L
H,13,198,124,74,1,27,549,417,132,0,-14,-351,-293,-58,1,L
H,16,295,250,45,3,23,495,446,49,1,-7,-200,-196,-4,2,L
A,13,310,207,103,2,23,430,212,218,0,-10,-120,-5,-115,2,L
A,21,357,259,98,1,13,226,145,81,0,8,131,114,17,1,L
H,29,379,300,79,0,25,397,304,93,1,4,-18,-4,-14,-1,W
A,16,306,218,88,4,15,273,231,42,2,1,33,-13,46,2,L
H,26,433,352,81,1,32,504,338,166,0,-6,-71,14,-85,1,L
A,15,310,151,159,3,19,318,239,79,0,-4,-8,-88,80,3,L
A,22,383,199,184,3,7,139,82,57,1,15,244,117,127,2,W
A,18,398,270,128,0,27,348,223,125,0,-9,50,47,3,0,W
A,21,279,166,113,0,19,318,191,127,1,2,-39,-25,-14,-1,L
A,21,391,291,100,2,23,383,321,62,1,-2,8,-30,38,1,L
A,24,477,395,82,2,25,429,262,167,1,-1,48,133,-85,1,L
H,22,373,246,127,2,16,287,201,86,0,6,86,45,41,2,L
H,30,467,320,147,1,22,284,192,92,2,8,183,128,55,-1,W
H,20,335,191,144,2,15,421,223,198,4,5,-86,-32,-54,-2,W
H,18,310,258,52,0,24,317,174,143,1,-6,-7,84,-91,-1,L
H,22,446,171,275,0,9,180,78,102,4,13,266,93,173,-4,W
H,18,234,133,101,0,25,350,244,106,0,-7,-116,-111,-5,0,L
A,28,373,286,87,1,14,329,193,136,3,14,44,93,-49,-2,W
A,15,349,329,20,0,26,440,258,182,0,-11,-91,71,-162,0,L
H,26,514,406,108,1,15,265,177,88,1,11,249,229,20,0,L
A,15,292,138,154,2,22,391,309,82,3,-7,-99,-171,72,-1,W
H,31,592,426,166,1,22,373,316,57,1,9,219,110,109,0,W
A,26,351,230,121,1,23,418,300,118,1,3,-67,-70,3,0,L
H,21,255,174,81,1,19,298,224,74,0,2,-43,-50,7,1,L
A,22,362,226,136,1,19,324,227,97,2,3,38,-1,39,-1,W
A,22,414,234,180,1,25,510,362,148,1,-3,-96,-128,32,0,L
H,26,442,408,34,2,21,266,131,135,2,5,176,277,-101,0,W
H,15,229,178,51,5,17,261,131,130,2,-2,-32,47,-79,3,L
H,21,389,278,111,1,15,213,167,46,3,6,176,111,65,-2,W
A,15,257,212,45,3,18,266,149,117,1,-3,-9,63,-72,2,L
A,21,371,153,218,1,16,253,155,98,1,5,118,-2,120,0,W
H,21,334,298,36,4,21,328,219,109,0,0,6,79,-73,4,L
A,22,277,139,138,3,18,269,192,77,2,4,8,-53,61,1,W
A,17,302,214,88,1,23,385,174,211,0,-6,-83,40,-123,1,L
