Where,1stD Diff,TotYd Diff,PassY Diff,RushY Diff,TO Diff,Outcome,,,,,,,,
A,MediumHigh,MediumHigh,High,Medium,High,W,,,,,,,,
H,High,High,High,High,Medium,W,,,,,,,,
H,MediumLow,MediumLow,High,MediumLow,High,L,,,,,,,,
A,High,High,High,Medium,High,L,,,,,,,,
H,High,High,High,MediumLow,High,L,,,,,,,,
A,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,L,,,,,,,,
H,MediumLow,MediumLow,MediumHigh,MediumLow,High,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,Medium,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,L,,,,,,,,
A,MediumHigh,High,Medium,High,Medium,W,,,,,,,,
A,High,Medium,Medium,MediumHigh,Medium,L,,,,,,,,
H,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,W,,,,,,,,
A,High,High,High,High,MediumLow,W,,,,,,,,
H,MediumHigh,Medium,MediumHigh,Medium,Medium,W,,,,,,,,
A,High,High,High,MediumHigh,Medium,W,,,,,,,,
A,MediumHigh,High,MediumHigh,High,MediumHigh,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
A,MediumHigh,Medium,MediumLow,High,High,L,,,,,,,,
A,High,High,MediumHigh,High,High,W,,,,,,,,
A,Medium,MediumHigh,MediumHigh,MediumHigh,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,High,MediumLow,High,W,,,,,,,,
H,MediumHigh,MediumLow,MediumHigh,MediumLow,High,L,,,,,,,,
A,High,High,MediumHigh,High,Medium,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,MediumLow,W,,,,,,,,
H,High,High,High,MediumHigh,MediumHigh,W,,,,,,,,
H,MediumLow,MediumHigh,MediumHigh,Medium,High,W,,,,,,,,
A,MediumHigh,High,High,Medium,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,Medium,MediumHigh,High,L,,,,,,,,
H,MediumHigh,High,High,MediumLow,High,L,,,,,,,,
A,Medium,MediumLow,MediumLow,High,MediumLow,W,,,,,,,,
H,MediumHigh,Medium,MediumLow,MediumHigh,High,L,,,,,,,,
H,Medium,Medium,MediumHigh,Medium,High,L,,,,,,,,
A,Medium,MediumHigh,MediumHigh,Medium,MediumHigh,W,,,,,,,,
A,High,High,MediumHigh,High,MediumHigh,W,,,,,,,,
H,MediumHigh,Medium,Medium,MediumHigh,Medium,W,,,,,,,,
A,MediumLow,MediumLow,High,MediumLow,Medium,L,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,MediumLow,L,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,L,,,,,,,,
H,High,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
H,MediumHigh,Medium,Medium,Medium,MediumHigh,L,,,,,,,,
A,High,High,High,MediumHigh,High,L,,,,,,,,
H,MediumLow,MediumLow,Medium,MediumLow,Medium,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,MediumLow,High,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,High,L,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,High,L,,,,,,,,
A,High,High,High,MediumHigh,High,L,,,,,,,,
H,MediumHigh,Medium,Medium,Medium,Medium,W,,,,,,,,
A,MediumHigh,MediumHigh,Medium,MediumHigh,High,L,,,,,,,,
H,MediumLow,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
A,Medium,Medium,MediumLow,High,High,L,,,,,,,,
A,High,High,High,High,High,W,,,,,,,,
A,MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumHigh,W,,,,,,,,
A,MediumHigh,Medium,Medium,Medium,Medium,L,,,,,,,,
A,Medium,MediumHigh,Medium,MediumHigh,High,L,,,,,,,,
A,Medium,MediumHigh,High,MediumLow,High,L,,,,,,,,
H,High,High,MediumHigh,MediumHigh,High,L,,,,,,,,
H,High,High,High,High,Medium,W,,,,,,,,
H,MediumHigh,MediumLow,Medium,Medium,MediumLow,W,,,,,,,,
H,MediumLow,Medium,High,MediumLow,Medium,L,,,,,,,,
H,High,High,High,High,MediumLow,W,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,L,,,,,,,,
A,High,MediumHigh,High,Medium,MediumLow,W,,,,,,,,
A,MediumLow,MediumLow,High,MediumLow,MediumHigh,L,,,,,,,,
H,High,High,High,MediumHigh,MediumHigh,L,,,,,,,,
A,MediumLow,MediumLow,MediumLow,High,Medium,W,,,,,,,,
H,High,High,High,High,MediumHigh,W,,,,,,,,
A,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,L,,,,,,,,
H,MediumHigh,Medium,Medium,MediumHigh,High,L,,,,,,,,
A,MediumHigh,MediumHigh,Medium,MediumHigh,Medium,W,,,,,,,,
A,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,L,,,,,,,,
H,MediumHigh,High,High,MediumLow,MediumHigh,W,,,,,,,,
H,Medium,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
H,High,High,High,High,MediumLow,W,,,,,,,,
A,Medium,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
A,MediumHigh,High,Medium,High,MediumHigh,W,,,,,,,,
H,MediumHigh,MediumHigh,High,MediumLow,High,L,,,,,,,,
A,MediumHigh,MediumHigh,Medium,High,High,W,,,,,,,,
A,MediumLow,MediumLow,MediumHigh,MediumLow,High,L,,,,,,,,
H,MediumLow,Medium,MediumHigh,MediumLow,High,L,,,,,,,,
H,MediumHigh,High,High,MediumHigh,MediumLow,W,,,,,,,,
H,High,High,High,Medium,High,L,,,,,,,,
H,MediumLow,Medium,MediumLow,MediumHigh,High,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,L,,,,,,,,
H,Medium,High,MediumHigh,High,MediumLow,W,,,,,,,,
A,MediumLow,MediumLow,MediumLow,Medium,Medium,L,,,,,,,,
H,Medium,MediumLow,MediumLow,MediumLow,MediumHigh,L,,,,,,,,
H,MediumLow,MediumLow,MediumLow,Medium,High,W,,,,,,,,
H,Medium,MediumLow,MediumHigh,MediumLow,High,L,,,,,,,,
H,MediumLow,Medium,MediumLow,High,Medium,W,,,,,,,,
A,High,MediumHigh,MediumHigh,Medium,MediumLow,W,,,,,,,,
H,Medium,MediumHigh,MediumHigh,MediumHigh,High,W,,,,,,,,
A,MediumHigh,MediumHigh,Medium,High,MediumLow,W,,,,,,,,
A,Medium,Medium,Medium,MediumHigh,Medium,W,,,,,,,,
A,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,L,,,,,,,,
