========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-11-11 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-11-11 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-11-13 20:30  to 2018-11-13 20:45,0.130,,
2018-11-13 20:45  to 2018-11-13 21:00,0.111,,
2018-11-13 21:00  to 2018-11-13 21:15,0.098,,
2018-11-13 21:15  to 2018-11-13 21:30,0.166,,
2018-11-13 21:30  to 2018-11-13 21:45,0.294,,
2018-11-13 21:45  to 2018-11-13 22:00,0.182,,
2018-11-13 22:00  to 2018-11-13 22:15,0.124,,
2018-11-13 22:15  to 2018-11-13 22:30,0.118,,
2018-11-13 22:30  to 2018-11-13 22:45,0.153,,
2018-11-13 22:45  to 2018-11-13 23:00,0.222,,
2018-11-13 23:00  to 2018-11-13 23:15,0.207,,
2018-11-13 23:15  to 2018-11-13 23:30,0.148,,
2018-11-13 23:30  to 2018-11-13 23:45,0.088,,
2018-11-13 23:45  to 2018-11-14 00:00,0.097,,

========================================
Interval Blockdata for period starting:, 2018-11-14 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-14 00:00  to 2018-11-14 00:15,0.150,,
2018-11-14 00:15  to 2018-11-14 00:30,0.107,,
2018-11-14 00:30  to 2018-11-14 00:45,0.099,,
2018-11-14 00:45  to 2018-11-14 01:00,0.136,,
2018-11-14 01:00  to 2018-11-14 01:15,0.118,,
2018-11-14 01:15  to 2018-11-14 01:30,0.186,,
2018-11-14 01:30  to 2018-11-14 01:45,0.172,,
2018-11-14 01:45  to 2018-11-14 02:00,0.122,,
2018-11-14 02:00  to 2018-11-14 02:15,0.096,,
2018-11-14 02:15  to 2018-11-14 02:30,0.229,,
2018-11-14 02:30  to 2018-11-14 02:45,0.096,,
2018-11-14 02:45  to 2018-11-14 03:00,0.198,,
2018-11-14 03:00  to 2018-11-14 03:15,0.069,,
2018-11-14 03:15  to 2018-11-14 03:30,0.115,,
2018-11-14 03:30  to 2018-11-14 03:45,0.230,,
2018-11-14 03:45  to 2018-11-14 04:00,0.175,,
2018-11-14 04:00  to 2018-11-14 04:15,0.143,,
2018-11-14 04:15  to 2018-11-14 04:30,0.089,,
2018-11-14 04:30  to 2018-11-14 04:45,0.272,,
2018-11-14 04:45  to 2018-11-14 05:00,0.199,,
2018-11-14 05:00  to 2018-11-14 05:15,0.105,,
2018-11-14 05:15  to 2018-11-14 05:30,0.069,,
2018-11-14 05:30  to 2018-11-14 05:45,0.179,,
2018-11-14 05:45  to 2018-11-14 06:00,0.234,,
2018-11-14 06:00  to 2018-11-14 06:15,0.086,,
2018-11-14 06:15  to 2018-11-14 06:30,0.121,,
2018-11-14 06:30  to 2018-11-14 06:45,0.169,,
2018-11-14 06:45  to 2018-11-14 07:00,0.203,,
2018-11-14 07:00  to 2018-11-14 07:15,0.147,,
2018-11-14 07:15  to 2018-11-14 07:30,0.188,,
2018-11-14 07:30  to 2018-11-14 07:45,0.051,,
2018-11-14 07:45  to 2018-11-14 08:00,0.080,,
2018-11-14 08:00  to 2018-11-14 08:15,0.011,,
2018-11-14 08:15  to 2018-11-14 08:30,0.016,,
2018-11-14 08:30  to 2018-11-14 08:45,0.000,,
2018-11-14 08:45  to 2018-11-14 09:00,0.000,,
2018-11-14 09:00  to 2018-11-14 09:15,0.001,,
2018-11-14 09:15  to 2018-11-14 09:30,0.000,,
2018-11-14 09:30  to 2018-11-14 09:45,0.000,,
2018-11-14 09:45  to 2018-11-14 10:00,0.000,,
2018-11-14 10:00  to 2018-11-14 10:15,0.000,,
2018-11-14 10:15  to 2018-11-14 10:30,0.000,,
2018-11-14 10:30  to 2018-11-14 10:45,0.000,,
2018-11-14 10:45  to 2018-11-14 11:00,0.000,,
2018-11-14 11:00  to 2018-11-14 11:15,0.000,,
2018-11-14 11:15  to 2018-11-14 11:30,0.000,,
2018-11-14 11:30  to 2018-11-14 11:45,0.000,,
2018-11-14 11:45  to 2018-11-14 12:00,0.000,,
2018-11-14 12:00  to 2018-11-14 12:15,0.000,,
2018-11-14 12:15  to 2018-11-14 12:30,0.000,,
2018-11-14 12:30  to 2018-11-14 12:45,0.000,,
2018-11-14 12:45  to 2018-11-14 13:00,0.000,,
2018-11-14 13:00  to 2018-11-14 13:15,0.000,,
2018-11-14 13:15  to 2018-11-14 13:30,0.000,,
2018-11-14 13:30  to 2018-11-14 13:45,0.000,,
2018-11-14 13:45  to 2018-11-14 14:00,0.000,,
2018-11-14 14:00  to 2018-11-14 14:15,0.000,,
2018-11-14 14:15  to 2018-11-14 14:30,0.001,,
2018-11-14 14:30  to 2018-11-14 14:45,0.007,,
2018-11-14 14:45  to 2018-11-14 15:00,0.007,,
2018-11-14 15:00  to 2018-11-14 15:15,0.000,,
2018-11-14 15:15  to 2018-11-14 15:30,0.000,,
2018-11-14 15:30  to 2018-11-14 15:45,0.000,,
2018-11-14 15:45  to 2018-11-14 16:00,0.022,,
2018-11-14 16:00  to 2018-11-14 16:15,0.108,,
2018-11-14 16:15  to 2018-11-14 16:30,0.044,,
2018-11-14 16:30  to 2018-11-14 16:45,0.050,,
2018-11-14 16:45  to 2018-11-14 17:00,0.085,,
2018-11-14 17:00  to 2018-11-14 17:15,0.224,,
2018-11-14 17:15  to 2018-11-14 17:30,0.074,,
2018-11-14 17:30  to 2018-11-14 17:45,0.081,,
2018-11-14 17:45  to 2018-11-14 18:00,0.141,,
2018-11-14 18:00  to 2018-11-14 18:15,0.326,,
2018-11-14 18:15  to 2018-11-14 18:30,0.165,,
2018-11-14 18:30  to 2018-11-14 18:45,0.153,,
2018-11-14 18:45  to 2018-11-14 19:00,0.058,,
2018-11-14 19:00  to 2018-11-14 19:15,0.045,,
2018-11-14 19:15  to 2018-11-14 19:30,0.036,,
2018-11-14 19:30  to 2018-11-14 19:45,0.064,,
2018-11-14 19:45  to 2018-11-14 20:00,0.035,,
2018-11-14 20:00  to 2018-11-14 20:15,0.037,,
2018-11-14 20:15  to 2018-11-14 20:30,0.063,,
2018-11-14 20:30  to 2018-11-14 20:45,0.077,,
2018-11-14 20:45  to 2018-11-14 21:00,0.080,,
2018-11-14 21:00  to 2018-11-14 21:15,0.074,,
2018-11-14 21:15  to 2018-11-14 21:30,0.083,,
2018-11-14 21:30  to 2018-11-14 21:45,0.095,,
2018-11-14 21:45  to 2018-11-14 22:00,0.099,,
2018-11-14 22:00  to 2018-11-14 22:15,0.056,,
2018-11-14 22:15  to 2018-11-14 22:30,0.081,,
2018-11-14 22:30  to 2018-11-14 22:45,0.072,,
2018-11-14 22:45  to 2018-11-14 23:00,0.084,,
2018-11-14 23:00  to 2018-11-14 23:15,0.071,,
2018-11-14 23:15  to 2018-11-14 23:30,0.053,,
2018-11-14 23:30  to 2018-11-14 23:45,0.081,,
2018-11-14 23:45  to 2018-11-15 00:00,0.051,,

========================================
Interval Blockdata for period starting:, 2018-11-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
   2018-11-15 00:00  to 2018-11-15 00:15,0.075,,
2018-11-15 00:15  to 2018-11-15 00:30,0.086,,
