========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2018-05-15 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2018-05-15 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWH),,

   -->
   
2018-05-17 04:45  to 2018-05-17 05:00,0.059,,
2018-05-17 05:00  to 2018-05-17 05:15,0.044,,
2018-05-17 05:15  to 2018-05-17 05:30,0.040,,
2018-05-17 05:30  to 2018-05-17 05:45,0.056,,
2018-05-17 05:45  to 2018-05-17 06:00,0.069,,
2018-05-17 06:00  to 2018-05-17 06:15,0.172,,
2018-05-17 06:15  to 2018-05-17 06:30,0.133,,
2018-05-17 06:30  to 2018-05-17 06:45,0.082,,
2018-05-17 06:45  to 2018-05-17 07:00,0.114,,
2018-05-17 07:00  to 2018-05-17 07:15,0.101,,
2018-05-17 07:15  to 2018-05-17 07:30,0.000,,
2018-05-17 07:30  to 2018-05-17 07:45,0.000,,
2018-05-17 07:45  to 2018-05-17 08:00,0.000,,
2018-05-17 08:00  to 2018-05-17 08:15,0.000,,
2018-05-17 08:15  to 2018-05-17 08:30,0.000,,
2018-05-17 08:30  to 2018-05-17 08:45,0.000,,
2018-05-17 08:45  to 2018-05-17 09:00,0.000,,
2018-05-17 09:00  to 2018-05-17 09:15,0.000,,
2018-05-17 09:15  to 2018-05-17 09:30,0.000,,
2018-05-17 09:30  to 2018-05-17 09:45,0.000,,
2018-05-17 09:45  to 2018-05-17 10:00,0.000,,
2018-05-17 10:00  to 2018-05-17 10:15,0.000,,
2018-05-17 10:15  to 2018-05-17 10:30,0.004,,
2018-05-17 10:30  to 2018-05-17 10:45,0.000,,
2018-05-17 10:45  to 2018-05-17 11:00,0.000,,
2018-05-17 11:00  to 2018-05-17 11:15,0.000,,
2018-05-17 11:15  to 2018-05-17 11:30,0.000,,
2018-05-17 11:30  to 2018-05-17 11:45,0.000,,
2018-05-17 11:45  to 2018-05-17 12:00,0.000,,
2018-05-17 12:00  to 2018-05-17 12:15,0.000,,
2018-05-17 12:15  to 2018-05-17 12:30,0.001,,
2018-05-17 12:30  to 2018-05-17 12:45,0.000,,
2018-05-17 12:45  to 2018-05-17 13:00,0.013,,
2018-05-17 13:00  to 2018-05-17 13:15,0.000,,
2018-05-17 13:15  to 2018-05-17 13:30,0.000,,
2018-05-17 13:30  to 2018-05-17 13:45,0.000,,
2018-05-17 13:45  to 2018-05-17 14:00,0.000,,
2018-05-17 14:00  to 2018-05-17 14:15,0.000,,
2018-05-17 14:15  to 2018-05-17 14:30,0.000,,
2018-05-17 14:30  to 2018-05-17 14:45,0.001,,
2018-05-17 14:45  to 2018-05-17 15:00,0.001,,
2018-05-17 15:00  to 2018-05-17 15:15,0.001,,
2018-05-17 15:15  to 2018-05-17 15:30,0.000,,
