========================================,,,
Usage Information,,,
For: 955 KIRKWOOD ST,,,
========================================,,,
Meter Reading Information,,,
Type of readings: Electricity,,, ,  
========================================
Detailed Usage,,,
========================================,,,
Start date: 2019-02-16 00:00 for 16 days,,,
========================================
Interval Blockdata for period starting:, 2019-02-16 00:00  for 1 day,,
========================================
Energy consumption time period,Usage(KWHR),,

   -->
   
2019-02-20 03:15  to 2019-02-20 03:30,0.000,,
2019-02-20 03:30  to 2019-02-20 03:45,0.000,,
2019-02-20 03:45  to 2019-02-20 04:00,0.000,,
2019-02-20 04:00  to 2019-02-20 04:15,0.000,,
2019-02-20 04:15  to 2019-02-20 04:30,0.000,,
2019-02-20 04:30  to 2019-02-20 04:45,0.000,,
2019-02-20 04:45  to 2019-02-20 05:00,0.000,,
2019-02-20 05:00  to 2019-02-20 05:15,0.000,,
2019-02-20 05:15  to 2019-02-20 05:30,0.000,,
2019-02-20 05:30  to 2019-02-20 05:45,0.000,,
2019-02-20 05:45  to 2019-02-20 06:00,0.000,,
2019-02-20 06:00  to 2019-02-20 06:15,0.000,,
2019-02-20 06:15  to 2019-02-20 06:30,0.000,,
2019-02-20 06:30  to 2019-02-20 06:45,0.000,,
2019-02-20 06:45  to 2019-02-20 07:00,0.000,,
2019-02-20 07:00  to 2019-02-20 07:15,0.000,,
2019-02-20 07:15  to 2019-02-20 07:30,0.000,,
2019-02-20 07:30  to 2019-02-20 07:45,0.000,,
2019-02-20 07:45  to 2019-02-20 08:00,0.000,,
2019-02-20 08:00  to 2019-02-20 08:15,0.000,,
2019-02-20 08:15  to 2019-02-20 08:30,0.000,,
2019-02-20 08:30  to 2019-02-20 08:45,0.000,,
2019-02-20 08:45  to 2019-02-20 09:00,0.000,,
2019-02-20 09:00  to 2019-02-20 09:15,0.000,,
2019-02-20 09:15  to 2019-02-20 09:30,0.000,,
2019-02-20 09:30  to 2019-02-20 09:45,0.000,,
2019-02-20 09:45  to 2019-02-20 10:00,0.000,,
2019-02-20 10:00  to 2019-02-20 10:15,0.000,,
2019-02-20 10:15  to 2019-02-20 10:30,0.000,,
